"","Age","Electorate","Sex","count","right_left"
"164","5–9 Years","Tāmaki Makaurau","Female",4569,-0.765323992994746
"165","10–14 Years","Tāmaki Makaurau","Female",4206,-0.765323992994746
"166","15–19 Years","Tāmaki Makaurau","Female",4575,-0.765323992994746
"167","20–24 Years","Tāmaki Makaurau","Female",4590,-0.765323992994746
"168","25–29 Years","Tāmaki Makaurau","Female",3531,-0.765323992994746
"169","30–34 Years","Tāmaki Makaurau","Female",3144,-0.765323992994746
"170","35–39 Years","Tāmaki Makaurau","Female",3069,-0.765323992994746
"171","40–44 Years","Tāmaki Makaurau","Female",3240,-0.765323992994746
"172","45–49 Years","Tāmaki Makaurau","Female",2847,-0.765323992994746
"173","50–54 Years","Tāmaki Makaurau","Female",2601,-0.765323992994746
"174","55–59 Years","Tāmaki Makaurau","Female",2013,-0.765323992994746
"175","60–64 Years","Tāmaki Makaurau","Female",1476,-0.765323992994746
"176","65–69 Years","Tāmaki Makaurau","Female",969,-0.765323992994746
"177","70–74 Years","Tāmaki Makaurau","Female",681,-0.765323992994746
"178","75–79 Years","Tāmaki Makaurau","Female",405,-0.765323992994746
"179","80–84 Years","Tāmaki Makaurau","Female",240,-0.765323992994746
"180","85 Years And Over","Tāmaki Makaurau","Female",144,-0.765323992994746
"181","0–4 Years","Te Tai Tokerau","Male",5793,-0.744785423159914
"182","5–9 Years","Te Tai Tokerau","Male",5289,-0.744785423159914
"183","10–14 Years","Te Tai Tokerau","Male",5268,-0.744785423159914
"184","15–19 Years","Te Tai Tokerau","Male",4569,-0.744785423159914
"185","20–24 Years","Te Tai Tokerau","Male",3354,-0.744785423159914
"186","25–29 Years","Te Tai Tokerau","Male",2487,-0.744785423159914
"187","30–34 Years","Te Tai Tokerau","Male",2307,-0.744785423159914
"188","35–39 Years","Te Tai Tokerau","Male",2553,-0.744785423159914
"189","40–44 Years","Te Tai Tokerau","Male",2838,-0.744785423159914
"190","45–49 Years","Te Tai Tokerau","Male",2751,-0.744785423159914
"191","50–54 Years","Te Tai Tokerau","Male",2592,-0.744785423159914
"192","55–59 Years","Te Tai Tokerau","Male",1953,-0.744785423159914
"193","60–64 Years","Te Tai Tokerau","Male",1521,-0.744785423159914
"194","65–69 Years","Te Tai Tokerau","Male",1134,-0.744785423159914
"195","70–74 Years","Te Tai Tokerau","Male",795,-0.744785423159914
"196","75–79 Years","Te Tai Tokerau","Male",447,-0.744785423159914
"197","80–84 Years","Te Tai Tokerau","Male",252,-0.744785423159914
"198","85 Years And Over","Te Tai Tokerau","Male",114,-0.744785423159914
"199","0–4 Years","Te Tai Tokerau","Female",5460,-0.744785423159914
"200","5–9 Years","Te Tai Tokerau","Female",5256,-0.744785423159914
"201","10–14 Years","Te Tai Tokerau","Female",4911,-0.744785423159914
"202","15–19 Years","Te Tai Tokerau","Female",4449,-0.744785423159914
"203","20–24 Years","Te Tai Tokerau","Female",3684,-0.744785423159914
"204","25–29 Years","Te Tai Tokerau","Female",3093,-0.744785423159914
"205","30–34 Years","Te Tai Tokerau","Female",2880,-0.744785423159914
"206","35–39 Years","Te Tai Tokerau","Female",3102,-0.744785423159914
"207","40–44 Years","Te Tai Tokerau","Female",3327,-0.744785423159914
"208","45–49 Years","Te Tai Tokerau","Female",3147,-0.744785423159914
"209","50–54 Years","Te Tai Tokerau","Female",3198,-0.744785423159914
"210","55–59 Years","Te Tai Tokerau","Female",2370,-0.744785423159914
"211","60–64 Years","Te Tai Tokerau","Female",1902,-0.744785423159914
"212","65–69 Years","Te Tai Tokerau","Female",1302,-0.744785423159914
"213","70–74 Years","Te Tai Tokerau","Female",942,-0.744785423159914
"214","75–79 Years","Te Tai Tokerau","Female",621,-0.744785423159914
"215","80–84 Years","Te Tai Tokerau","Female",375,-0.744785423159914
"216","85 Years And Over","Te Tai Tokerau","Female",225,-0.744785423159914
"217","0–4 Years","Māngere","Male",3321,-0.586052820553738
"218","5–9 Years","Māngere","Male",3108,-0.586052820553738
"219","10–14 Years","Māngere","Male",3111,-0.586052820553738
"220","15–19 Years","Māngere","Male",3054,-0.586052820553738
"221","20–24 Years","Māngere","Male",2682,-0.586052820553738
"222","25–29 Years","Māngere","Male",2103,-0.586052820553738
"223","30–34 Years","Māngere","Male",1974,-0.586052820553738
"224","35–39 Years","Māngere","Male",1842,-0.586052820553738
"225","40–44 Years","Māngere","Male",2064,-0.586052820553738
"226","45–49 Years","Māngere","Male",1989,-0.586052820553738
"227","50–54 Years","Māngere","Male",1701,-0.586052820553738
"228","55–59 Years","Māngere","Male",1368,-0.586052820553738
"229","60–64 Years","Māngere","Male",1200,-0.586052820553738
"230","65–69 Years","Māngere","Male",972,-0.586052820553738
"231","70–74 Years","Māngere","Male",711,-0.586052820553738
"232","75–79 Years","Māngere","Male",450,-0.586052820553738
